State,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI,Avg_Temp
Mississippi,2011,3800,1878,1889,33,0,0,0,107.53846153846153,49.23076923076923,66.8237560109589
Mississippi,2012,3435,1937,1457,39,2,0,0,118.63636363636364,47.36363636363637,67.11695668681318
Mississippi,2013,3116,2296,814,6,0,0,0,98.8,40.9,69.77276909392265
Mississippi,2014,3073,2154,902,16,1,0,0,103.3,41.7,64.38391712643678
Mississippi,2015,3252,2362,888,2,0,0,0,87.81818181818181,40.18181818181818,68.1462287260274
Mississippi,2016,3166,2410,755,1,0,0,0,86.0,41.54545454545455,70.32473765349545
Mississippi,2017,3235,2449,784,2,0,0,0,78.72727272727273,40.09090909090909,68.34128286301369
Mississippi,2018,3393,2261,1119,12,1,0,0,105.54545454545455,42.54545454545455,67.982495087032
Mississippi,2019,3378,2271,1105,2,0,0,0,92.3,43.7,67.74203496449105
Mississippi,2020,3357,2266,1089,2,0,0,0,82.8,42.9,67.93066053289078
Mississippi,2021,3376,2304,1071,1,0,0,0,85.4,42.5,67.43397501496817
Mississippi,2022,3374,2260,1104,10,0,0,0,100.3,43.9,67.17826041694786
Mississippi,2023,3374,1857,1495,22,0,0,0,112.7,48.1,69.2795387666697
Mississippi,2024,835,661,174,0,0,0,0,72.3,39.6,65.47050889791123
Missouri,2009,5961,3802,2108,49,2,0,0,114.14285714285714,43.142857142857146,55.08229771442742
Missouri,2010,6067,3328,2594,139,6,0,0,126.42857142857143,47.333333333333336,51.215137348534405
Missouri,2011,6122,3401,2517,187,17,0,0,137.28571428571428,48.333333333333336,46.39695701381421
Missouri,2012,6043,3020,2625,352,46,0,0,149.85714285714286,49.0,54.63744672338299
Missouri,2013,6105,3836,2234,34,1,0,0,109.38095238095238,45.38095238095238,55.29139732530647
Missouri,2014,6104,3957,2104,43,0,0,0,107.28571428571429,43.80952380952381,54.876319266658584
Missouri,2015,6061,4168,1866,25,2,0,0,103.0952380952381,42.42857142857143,58.01681605623751
Missouri,2016,6096,4567,1492,35,2,0,0,104.95238095238095,40.80952380952381,59.48576950414365
Missouri,2017,6368,4611,1738,18,1,0,0,99.19047619047619,42.76190476190476,58.55199856024131
Missouri,2018,6190,4427,1713,49,1,0,0,109.85714285714286,41.23809523809524,56.31486810264467
Missouri,2019,6182,4727,1440,14,1,0,0,91.76190476190476,40.76190476190476,55.36353259405971
Missouri,2020,6146,4859,1261,24,2,0,0,104.23809523809524,37.904761904761905,56.72898518530608
Missouri,2021,6165,4680,1453,30,2,0,0,106.85714285714286,39.95238095238095,56.991173580081586
Missouri,2022,6177,4645,1505,27,0,0,0,97.9047619047619,41.285714285714285,55.91777766615198
Missouri,2023,6132,4028,1933,162,9,0,0,136.8095238095238,43.95238095238095,57.68860071224769
Missouri,2024,1269,1041,224,3,1,0,0,70.78947368421052,38.68421052631579,41.62081762372258
Montana,2009,4798,3504,1260,32,2,0,0,89.11111111111111,30.88888888888889,47.196971439907266
Montana,2010,5440,3958,1391,81,10,0,0,101.84210526315789,33.421052631578945,46.30774266539595
Montana,2011,5137,3680,1379,69,9,0,0,98.11111111111111,32.22222222222222,44.35887300231059
Montana,2012,5293,3571,1596,76,44,5,1,120.3157894736842,33.1578947368421,43.03040131000198
Montana,2013,5677,4338,1291,41,7,0,0,93.36842105263158,32.0,44.696321348761785
Montana,2014,5792,4461,1291,37,3,0,0,112.73684210526316,31.68421052631579,44.09794785680368
Montana,2015,5848,4338,1344,86,72,8,0,180.52631578947367,32.94736842105263,45.31781173222903
Montana,2016,5851,4679,1115,51,5,0,1,123.6842105263158,30.68421052631579,45.811383353226525
